datetime,Open,High,Low,Close,price,total_liquidations,long_liquidations,short_liquidations,liquidation_count,Volume
2024-06-04 12:50:00,68653.96,68653.96,68653.96,68653.96,68653.96,137.30792000000002,0.0,137.30792000000002,1,137.30792000000002
2024-06-04 12:55:00,68694.02,68694.02,68694.02,68694.02,68694.02,618.24618,0.0,618.24618,1,618.24618
2024-06-04 13:00:00,68694.02,68694.02,68694.02,68694.02,68694.02,0.0,0.0,0.0,0,0.0
2024-06-04 13:05:00,68694.02,68694.02,68694.02,68694.02,68694.02,0.0,0.0,0.0,0,0.0
2024-06-04 13:10:00,69372.34,69565.59,69372.34,69565.59,69501.6675,35571.696710000004,35571.696710000004,0.0,12,35571.696710000004
2024-06-04 13:15:00,69614.32,69614.32,69559.34,69559.34,69588.7,134553.76149,134553.76149,0.0,7,134553.76149
2024-06-04 13:20:00,69602.5,69761.25,69597.15,69749.03,69662.44387096773,74804.30902,74804.30902,0.0,31,74804.30902
2024-06-04 13:25:00,69677.92,69677.92,69677.92,69677.92,69677.92,139.35584,139.35584,0.0,1,139.35584
2024-06-04 13:30:00,69763.61,69811.27,69763.61,69811.27,69789.01333333334,11587.076640000001,11587.076640000001,0.0,6,11587.076640000001
2024-06-04 13:35:00,69763.61,69811.27,69763.61,69811.27,69789.01333333334,0.0,0.0,0.0,0,0.0
2024-06-04 13:40:00,69804.46,69876.68,69451.13,69857.51,69833.97916666667,41490.225040000005,41490.225040000005,0.0,24,41490.225040000005
2024-06-04 13:45:00,69881.54,70014.07,69881.54,70013.13,69963.2304,60445.383169999994,60445.383169999994,0.0,25,60445.383169999994
2024-06-04 13:50:00,70016.46,70037.47,70016.46,70037.47,70023.89,14634.69593,14634.69593,0.0,6,14634.69593
2024-06-04 13:55:00,70043.98,70139.03,69279.22,69279.22,70043.25157894737,184704.99558000002,184566.43714,138.55844000000002,19,184704.99558000002
2024-06-04 14:00:00,70093.79,70209.72,70093.79,70209.72,70163.951875,117846.01842,117846.01842,0.0,16,117846.01842
2024-06-04 14:05:00,69992.95,70316.2,69992.95,70316.2,70235.78833333333,304918.86172,304918.86172,0.0,30,304918.86172
2024-06-04 14:10:00,70279.63,70279.63,70279.63,70279.63,70279.63,8855.233380000001,8855.233380000001,0.0,1,8855.233380000001
2024-06-04 14:15:00,70317.3,70409.11,70317.3,70409.11,70369.09333333334,126653.63534000001,126653.63534000001,0.0,12,126653.63534000001
2024-06-04 14:20:00,69530.13,69530.13,69518.32,69518.32,69524.225,2085.8802800000003,0.0,2085.8802800000003,2,2085.8802800000003
2024-06-04 14:25:00,69534.04,70066.5,69475.09,69475.09,69838.79000000001,5447.06762,3222.68574,2224.38188,5,5447.06762
2024-06-04 14:30:00,69468.9,69468.9,69352.38,69352.38,69405.323,68332.93752,0.0,68332.93752,10,68332.93752
2024-06-04 14:35:00,69344.61,69344.61,69089.46,69089.46,69238.75428571428,128209.26299,0.0,128209.26299,14,128209.26299
2024-06-04 14:40:00,69897.02,69909.51,69897.02,69909.51,69902.79666666668,53475.242170000005,53475.242170000005,0.0,3,53475.242170000005
2024-06-04 14:45:00,69930.01,69936.3,69930.01,69936.3,69933.155,2657.4536,2657.4536,0.0,2,2657.4536
2024-06-04 14:50:00,69951.78,70013.88,69951.78,70013.88,69978.4325,5668.05208,5668.05208,0.0,4,5668.05208
2024-06-04 14:55:00,70037.32,70037.32,70037.32,70037.32,70037.32,140.07464000000002,140.07464000000002,0.0,1,140.07464000000002
2024-06-04 15:00:00,70037.32,70037.32,70037.32,70037.32,70037.32,0.0,0.0,0.0,0,0.0
2024-06-04 15:05:00,70037.32,70037.32,70037.32,70037.32,70037.32,0.0,0.0,0.0,0,0.0
2024-06-04 15:10:00,70038.63,70238.08,70038.63,70238.08,70145.77578947369,106818.88263000001,106818.88263000001,0.0,19,106818.88263000001
2024-06-04 15:15:00,70243.66,70398.39,70243.66,70398.39,70297.84352941177,65701.7358,65701.7358,0.0,17,65701.7358
2024-06-04 15:20:00,70414.16,70499.52,70414.16,70496.81,70469.46375,141584.03145,141584.03145,0.0,24,141584.03145
2024-06-04 15:25:00,70414.16,70499.52,70414.16,70496.81,70469.46375,0.0,0.0,0.0,0,0.0
2024-06-04 15:30:00,70386.11,70467.42,70386.11,70467.42,70426.765,1409.18578,1409.18578,0.0,2,1409.18578
2024-06-04 15:35:00,70386.11,70467.42,70386.11,70467.42,70426.765,0.0,0.0,0.0,0,0.0
2024-06-04 15:40:00,70467.22,70501.83,70467.22,70501.83,70489.03333333334,22983.46688,22983.46688,0.0,3,22983.46688
2024-06-04 15:45:00,70495.92,70525.82,70377.99,70377.99,70491.60571428572,59372.721699999995,59372.721699999995,0.0,7,59372.721699999995
2024-06-04 15:50:00,70526.73,70820.14,70526.73,70814.52,70693.55823529413,546657.6451600001,546657.6451600001,0.0,51,546657.6451600001
2024-06-04 15:55:00,70155.12,70155.12,70155.12,70155.12,70155.12,2315.11896,0.0,2315.11896,1,2315.11896
2024-06-04 16:00:00,70794.44,70966.29,70794.44,70966.29,70905.61,173828.23162,173828.23162,0.0,30,173828.23162
2024-06-04 16:05:00,70794.44,70966.29,70794.44,70966.29,70905.61,0.0,0.0,0.0,0,0.0
2024-06-04 16:10:00,70854.2,70867.54,70789.71,70867.54,70843.7375,3259.14333,3259.14333,0.0,4,3259.14333
2024-06-04 16:15:00,70913.39,71263.29,70194.17,71263.29,71054.47899999999,1099645.78289,1099645.78289,0.0,40,1099645.78289
